movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
Amadeus,1984,160,8.4,87        ,414955,51.97
The Usual Suspects,1995,106,8.5,77        ,1115281,23.34
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89        ,1042732,34.4
The Lion King,1994,88,8.5,88        ,1100905,422.78
Reservoir Dogs,1992,99,8.3,81        ,1055401,2.83
Spirited Away,2001,125,8.6,96        ,805071,10.06
Star Wars: Episode IV - A New Hope,1977,121,8.6,90        ,1408941,322.74
Once Upon a Time in America,1984,229,8.3,75        ,365076,5.32
Come and See,1985,142,8.4,-,88995,
American History X,1998,119,8.5,62        ,1154552,6.72
"The Good, the Bad and the Ugly",1966,178,8.8,90        ,786487,6.1
City of God,2002,130,8.6,79        ,779040,7.56
The Lord of the Rings: The Two Towers,2002,179,8.8,87        ,1723222,342.55
The Hunt,2012,115,8.3,77        ,347486,0.69
Toy Story,1995,81,8.3,96        ,1032989,191.8
Psycho,1960,109,8.5,97        ,695853,32.0
Once Upon a Time in the West,1968,165,8.5,82        ,340534,5.32
Casablanca,1942,102,8.5,100        ,589938,1.02
Life Is Beautiful,1997,116,8.6,59        ,719664,57.6
Coco,2017,105,8.4,81        ,549857,209.73
Your Name.,2016,106,8.4,81        ,296196,5.02
The Intouchables,2011,112,8.5,57        ,893888,13.18
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82        ,1337045,290.48
Grave of the Fireflies,1988,89,8.5,94        ,293525,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97        ,505150,0.28
WALL·E,2008,98,8.4,95        ,1159331,223.81
Princess Mononoke,1997,134,8.3,76        ,413539,2.38
The Lives of Others,2006,137,8.4,89        ,400150,11.29
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58        ,1089670,309.13
3 Idiots,2009,170,8.4,67        ,416340,6.53
Rear Window,1954,112,8.5,100        ,507154,36.76
Toy Story 3,2010,103,8.3,92        ,866391,415.0
Seven Samurai,1954,207,8.6,98        ,356700,0.27
Capernaum,2018,126,8.4,75        ,98115,1.66
Lawrence of Arabia,1962,218,8.3,100        ,304617,44.82
It's a Wonderful Life,1946,130,8.6,89        ,477346,
Cinema Paradiso,1988,155,8.5,80        ,272426,11.99
Citizen Kane,1941,119,8.3,100        ,454850,1.59
Das Boot,1981,149,8.4,86        ,258045,11.49
Singin' in the Rain,1952,103,8.3,99        ,252146,8.82
Sunset Blvd.,1950,110,8.4,94        ,229596,
Paths of Glory,1957,88,8.4,90        ,205088,
Harakiri,1962,133,8.6,85        ,63058,
M,1931,99,8.3,-,163590,0.03
Witness for the Prosecution,1957,116,8.4,76        ,131733,8.18
Ikiru,1952,143,8.3,92        ,83456,0.06
The Great Dictator,1940,125,8.4,-,231163,0.29
Modern Times,1936,87,8.5,96        ,251450,0.16
High and Low,1963,143,8.4,90        ,49227,
City Lights,1931,87,8.5,99        ,190676,0.02
